id,zipcode4,zipcode6,zipcode6id,housetype,lot-area,house-area,garden-size,rooms,bathrooms,x-coor,y-coor,buildyear,retailvalue,askingprice,energylabel,energyeff,valuationdate,street,subdistrict,district,city,dist-from-train
5000,3544,3544MC,3544MC000,woonhuis,127,152,41,5,1,52.0986,5.0391,2007,766,650,A+,1,2024-05-01,Kees van Bohemenhof,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.98
5001,3544,3544MC,3544MC001,woonhuis,109,145,29,5,1,52.0988,5.0392,2007,615,615,A,1,2024-04-04,Kees van Bohemenhof,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.97
5002,3544,3544MC,3544MC002,woonhuis,257,204,162,7,2,52.0988,5.0394,2007,860,895,A+,1,2024-02-02,Kees van Bohemenhof,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.96
5003,3544,3544MV,3544MV003,woonhuis,130,116,54,5,1,52.0954,5.0437,2007,791,645,A+,1,2024-10-28,van der Broekstraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.60
5004,3544,3544MV,3544MV004,woonhuis,110,99,32,4,1,52.0953,5.0433,2006,656,550,A+,1,2024-08-01,van der Broekstraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.62
5005,3544,3544MV,3544MV005,woonhuis,128,119,60,5,1,52.0953,5.0426,2006,615,575,A,1,2024-02-26,van der Broekstraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,4.67
5006,3544,3544NX,3544NX006,appartement,0,86,0,3,1,52.1003,5.0309,2017,525,479,A,1,2024-10-24,Pablo Picassostraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,5.56
5007,3544,3544NX,3544NX007,appartement,0,70,0,2,1,52.1003,5.0317,2007,442,385,A,1,2024-07-17,Pablo Picassostraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,5.51
5008,3544,3544NX,3544NX008,appartement,0,68,0,2,1,52.1003,5.0324,2007,450,360,A,1,2024-09-24,Pablo Picassostraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,5.46
5009,3544,3544NX,3544NX009,appartement,0,71,0,2,1,52.1002,5.0329,2009,430,380,A,1,2024-05-13,Pablo Picassostraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,5.43
5010,3544,3544NX,3544NX010,appartement,0,64,0,2,1,52.1003,5.0317,2007,360,345,A,1,2024-04-11,Pablo Picassostraat,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,5.51
5011,3553,3553BM,3553BM011,appartement,0,86,0,4,1,52.1111,5.0879,1931,441,389,D,0,2024-05-02,Edisonstraat,Zuilen-west,Noord-West,Utrecht,2.91
5012,3553,3553CM,3553CM012,appartement,0,63,30,3,1,52.1108,5.0864,1926,435,395,D,0,2024-08-28,Amperestraat,Zuilen-west,Noord-West,Utrecht,2.94
5013,3553,3553CM,3553CM013,appartement,0,56,Unspecified,2,1,52.1109,5.0866,1926,405,350,D,0,2024-09-03,Amperestraat,Zuilen-west,Noord-West,Utrecht,2.94
5014,3553,3553CM,3553CM014,appartement,0,72,19,3,1,52.1107,5.0863,1926,480,375,D,0,2024-08-01,Amperestraat,Zuilen-west,Noord-West,Utrecht,2.94
5015,3553,3553CM,3553CM015,appartement,0,76,0,4,1,52.1108,5.0869,1926,481,425,F,0,2024-08-23,Amperestraat,Zuilen-west,Noord-West,Utrecht,2.93
5016,3584,3584HD,3584HD016,appartement,0,79,0,3,1,52.0869,5.1504,1979,421,375,B,0,2024-08-09,A v Dalsumlaan,Rijnsweerd,Oost,Utrecht,2.74
5017,3584,3584HD,3584HD017,appartement,0,81,0,3,1,52.0869,5.1504,1978,418,395,A,1,2024-09-19,A v Dalsumlaan,Rijnsweerd,Oost,Utrecht,2.74
5018,3584,3584HD,3584HD018,appartement,0,76,42,3,1,52.0872,5.1505,1979,481,375,C,0,2024-06-19,A v Dalsumlaan,Rijnsweerd,Oost,Utrecht,2.75
5019,3584,3584HD,3584HD019,appartement,0,77,44,3,1,52.0872,5.1505,1979,342,300,C,0,2024-03-25,A v Dalsumlaan,Rijnsweerd,Oost,Utrecht,2.75
5020,3524,3524BW,3524BW020,appartement,0,114,0,5,1,52.0908,5.1222,1983,415,375,C,0,2024-03-25,Hondsrug,Lunetten,Zuid,Utrecht,0.85
5021,3524,3524BW,3524BW021,appartement,0,100,0,6,1,52.0644,5.1372,1983,480,400,C,0,2024-09-23,Hondsrug,Lunetten,Zuid,Utrecht,3.27
5022,3524,3524BZ,3524BZ022,appartement,0,84,60,4,1,52.0649,5.1395,1983,375,343,B,0,2024-08-30,Hondsrug,Lunetten,Zuid,Utrecht,3.31
5023,3524,3524BZ,3524BZ023,appartement,0,110,0,4,1,52.0649,5.1393,1982,461,385,B,0,2024-06-03,Hondsrug,Lunetten,Zuid,Utrecht,3.30
5024,3524,3524BZ,3524BZ024,appartement,0,85,Unspecified,4,1,52.0649,5.1400,1983,412,350,C,0,2024-05-01,Hondsrug,Lunetten,Zuid,Utrecht,3.33
5025,3521,3521DE,3521DE025,appartement,0,93,30,3,1,52.0801,5.1090,2014,651,585,A,1,2024-05-28,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.96
