age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
26,female,1028,1706,88,240,46,2
49,female,3531,2188,106,294,64,6
66,female,1046,1796,157,270,20,1
65,female,5621,1776,111,310,20,8
51,female,1031,2037,52,112,157,1
79,male,3514,2431,121,457,20,5
58,male,3514,2527,63,348,98,2
23,male,1813,1925,141,293,31,2
73,female,1036,2189,220,145,72,1
59,other,5025,2112,140,329,27,6
63,male,1031,2420,96,454,31,2
58,female,3511,1991,220,80,70,5
57,female,5616,1645,116,206,36,6
24,female,1825,1883,58,240,73,2
58,female,2517,1979,210,222,31,4
75,female,5033,2349,220,283,37,2
39,female,9731,1935,89,261,56,4
61,female,3514,2178,216,257,29,5
20,male,1046,2111,34,474,20,1
43,female,6211,2065,45,308,75,3
49,male,3511,2211,128,391,21,2
88,female,5646,1813,73,367,20,4
33,male,5033,2466,32,293,129,1
37,male,3514,2702,206,367,50,5
47,male,1825,2122,220,182,33,1
89,male,3542,1932,30,88,166,1
79,male,5621,1537,30,243,59,2
20,male,3026,1891,160,240,33,2
34,male,5022,2156,128,226,80,2
77,male,6224,1903,220,190,20,5
22,female,6224,1664,153,142,53,4
79,female,6514,1835,204,228,20,5
38,female,3511,1804,44,319,37,4
84,male,9712,1930,48,94,149,3
39,male,1046,2550,220,317,32,4
49,female,5033,1909,36,330,47,4
65,male,1028,2155,220,198,38,1
27,male,9721,2441,149,391,34,0
58,female,1028,1886,129,247,43,2
54,female,1035,2519,35,534,21,3
74,male,5622,2686,91,415,75,9
89,female,3534,1982,43,193,109,4
65,male,4817,2378,94,280,94,3
47,female,5014,2337,151,376,33,8
47,male,8921,2155,34,227,123,1
48,male,5632,2323,173,345,34,2
76,female,9711,2233,69,445,22,1
41,male,1046,2070,119,220,81,4
30,female,3024,2456,220,217,52,0
42,male,6211,2381,69,369,70,4
19,female,3035,2097,94,237,84,9
25,female,2545,2297,73,303,89,1
24,female,5622,2224,31,460,23,8
73,female,1028,1925,194,243,20,2
70,male,3534,2538,117,472,24,2
68,female,3542,1788,69,285,35,4
51,male,1023,2251,136,186,102,5
69,female,1823,1985,152,352,20,7
29,female,3548,2112,193,257,31,2
82,female,4822,2009,75,155,121,2
54,female,1036,1764,85,286,30,4
85,female,2517,1416,69,248,20,8
28,male,5622,2559,74,453,47,5
53,female,3548,1964,77,349,23,6
68,female,1046,2090,148,365,20,6
53,male,6514,2411,141,282,80,5
50,female,6216,1795,144,274,20,3
29,male,1028,2218,85,241,103,3
45,male,1035,2292,143,374,20,1
35,male,3516,2352,47,143,180,1
39,male,3542,2495,123,272,110,3
67,female,1825,1900,205,245,20,6
63,female,5616,2021,194,201,45,4
61,female,5033,1779,30,323,48,2
44,female,1031,2085,49,288,82,2
87,male,6535,1878,203,232,20,1
24,male,9721,2200,51,357,60,4
42,male,8927,2924,177,425,57,3
26,female,6211,2151,45,235,112,5
42,male,6211,2252,128,318,49,1
87,female,4825,1531,46,266,39,5
44,female,2517,1907,158,251,29,7
83,female,1023,2032,73,430,20,5
53,female,5646,1846,165,252,22,9
68,male,1023,2160,70,386,37,3
50,female,2517,1870,122,297,20,3
37,female,8927,2703,140,262,121,3
73,female,3023,1977,30,307,71,5
87,female,5632,1504,110,154,47,3
36,female,1036,1964,100,238,66,4
74,other,5616,2382,94,285,93,3
36,male,6224,2089,183,195,63,0
69,female,1023,2002,94,396,20,3
74,female,5014,2350,30,560,20,3
50,male,4811,2416,220,159,85,5
71,female,3534,1883,70,229,81,2
37,male,1813,2637,220,243,50,1
23,female,5634,1983,130,328,20,3
24,male,4822,1986,128,250,52,3
50,male,4811,2448,220,206,20,2
82,female,5616,1647,214,201,20,4
27,male,3023,2204,131,238,74,3
50,male,4811,2418,144,431,20,3
68,male,1813,2094,167,315,20,3
32,female,1823,1759,89,252,45,3
69,female,5025,1530,143,190,31,5
40,female,5012,2012,176,149,75,2
76,male,5622,2462,161,427,20,2
59,female,6211,2229,131,342,38,4
57,male,1033,2184,71,245,100,3
30,female,6211,2119,67,262,87,2
51,male,3531,1951,105,113,123,2
79,male,1035,2356,49,442,43,4
19,male,8912,2174,220,161,42,1
72,female,1031,1784,30,341,41,2
53,female,8927,1822,32,358,35,5
69,male,5014,2483,153,417,27,3
65,female,2014,1898,43,302,64,5
49,female,6221,2484,44,398,75,3
40,male,1825,2223,72,449,20,5
63,female,8921,2015,78,117,143,3
28,female,9712,2015,220,195,20,3
60,male,4822,2657,90,296,128,3
24,female,4822,2025,53,293,71,1
64,male,1823,1815,102,326,20,3
63,female,9728,2294,121,348,46,6
24,male,5646,2105,66,374,40,3
72,female,5012,1880,117,311,20,2
47,male,3534,1908,30,300,80,1
74,female,1023,2253,178,278,56,4
20,female,3023,2648,220,294,44,1
30,male,8912,2045,117,353,22,5
53,female,1813,1919,138,162,78,7
31,other,2014,1766,189,190,20,6
41,female,1825,1629,76,145,82,3
65,male,9712,2557,162,203,123,1
28,female,1046,2059,89,315,49,7
66,male,2545,2314,100,325,70,4
25,male,2517,2112,79,438,20,4
30,female,5622,2671,53,438,76,3
60,female,8921,2165,183,196,73,2
75,female,5612,1624,105,270,20,7
30,male,8927,2495,156,427,20,2
39,female,5632,2073,97,326,49,0
84,female,9721,1859,78,315,33,3
89,male,1825,1938,123,240,53,4
59,female,5616,1771,117,329,20,6
50,male,3548,2345,112,435,20,2
42,male,5632,2284,43,386,65,4
62,female,5022,2215,91,435,20,5
60,other,5646,2054,148,333,20,8
39,male,9721,2752,174,347,73,3
19,male,6224,2057,87,376,22,1
28,male,5014,2300,143,386,20,1
87,female,5612,2117,169,327,20,2
48,male,3024,2305,220,142,60,2
52,female,1825,1883,74,325,28,3
51,other,3035,2167,90,282,67,4
74,male,5632,1642,97,206,54,7
22,female,5612,2294,220,284,20,4
23,female,5622,2245,30,533,20,5
37,female,5025,1865,169,269,20,4
53,male,1028,2324,220,198,20,2
66,male,6221,2354,124,256,91,5
53,male,1046,2213,170,298,40,2
49,female,1813,2022,32,277,86,7
85,female,4822,1310,30,178,62,3
29,male,3542,2248,220,247,39,2
59,male,9721,2087,86,216,98,3
57,female,1823,2027,162,231,54,8
52,male,5014,2346,207,363,20,1
76,male,5025,2342,133,450,20,5
37,female,4817,1914,92,269,52,4
86,male,5644,1794,96,174,82,3
41,male,1813,1922,220,236,20,1
57,male,8912,2050,220,255,20,6
55,male,5634,2413,143,232,94,2
79,female,3511,1574,109,228,20,4
49,female,4822,1473,89,100,76,4
38,female,3511,1981,97,201,80,3
19,male,9721,2405,84,205,136,2
44,female,5014,2399,30,535,20,3
77,male,6216,2260,220,254,46,2
18,female,8921,2607,58,303,127,3
82,male,3516,2123,158,344,20,2
57,female,3023,2305,69,340,73,1
28,male,6535,1664,65,303,20,5
39,male,3511,2291,30,371,76,1
57,female,2517,2341,30,550,20,8
40,male,5644,2233,67,164,143,1
25,male,3026,2066,133,266,48,3
65,female,3026,1650,44,296,36,4
66,female,3041,1788,134,211,43,3
26,male,3026,2101,148,351,20,3
38,female,3024,2221,151,377,20,3
35,female,1023,2263,112,449,20,9
65,female,4811,2200,36,331,78,5
70,female,2014,1869,141,108,100,5
70,female,3534,1919,175,185,60,5
85,female,1036,1801,90,197,70,5
73,female,3035,2424,30,555,20,10
41,female,4811,2323,203,349,20,1
25,male,3023,2460,155,243,89,3
62,male,2014,2048,85,346,38,3
83,male,1023,2346,30,511,29,2
88,female,1046,2108,52,264,101,5
34,male,5033,2565,99,336,90,2
35,female,5014,2065,79,320,52,4
20,female,1825,2402,136,222,102,3
28,other,5644,2397,215,288,49,1
57,male,3534,2270,197,264,51,6
57,female,3542,1999,101,336,24,1
44,female,9728,2367,47,327,101,3
40,male,3024,2261,82,340,65,2
77,female,4811,1750,64,326,22,4
51,male,5644,2326,151,80,158,4
76,female,5622,1837,49,358,27,2
87,female,3023,1949,30,330,58,7
40,male,3548,1961,30,441,20,2
32,male,9731,1862,45,389,20,3
86,male,8927,2125,50,374,50,3
63,male,6535,2007,33,425,20,3
38,female,1023,2324,198,306,32,2
62,male,4817,1905,67,122,133,3
55,male,2014,2029,71,308,59,4
83,female,3024,1922,113,212,63,8
36,female,1825,1872,171,217,32,2
89,female,3542,2176,220,195,31,2
85,female,6211,1627,65,213,53,4
31,male,8912,2077,122,233,75,2
29,female,5644,1907,220,126,28,2
56,male,1813,1889,142,204,56,2
21,female,6535,1433,127,217,20,2
39,other,1033,2204,30,452,39,3
49,female,4817,2172,61,172,138,2
87,female,3035,2396,220,160,72,5
89,female,2545,2113,95,259,77,5
28,male,3026,1538,94,234,26,2
82,female,1046,1720,62,351,20,4
24,female,6535,2212,124,395,25,0
71,other,3511,2215,51,329,84,3
78,female,5622,2329,147,356,41,4
82,male,1023,2076,119,353,25,2
34,female,5033,1870,167,273,20,3
82,male,5012,2496,76,189,162,4
26,male,3035,2364,220,231,56,5
55,male,9728,2626,220,181,20,3
51,female,6535,1642,48,284,34,6
40,male,3515,2369,168,397,20,4
19,male,3024,2513,220,338,20,2
73,male,1028,1908,83,222,77,2
42,female,5014,2208,42,368,60,1
65,female,8921,1956,51,372,28,1
47,male,1823,1697,118,291,20,4
44,male,5612,2771,64,575,20,3
81,female,8912,1455,131,175,26,4
24,male,5012,2060,83,312,56,3
71,female,5033,2019,64,358,40,4
71,male,5622,2135,79,323,58,4
45,female,6211,2283,85,396,40,1
36,male,5622,2802,220,249,23,4
18,female,2517,1976,189,219,38,1
85,male,1028,1941,79,195,88,5
86,female,5621,1408,83,83,80,2
35,other,3023,1858,109,298,23,3
20,female,8927,2365,46,492,25,2
26,male,6211,2518,46,416,76,3
22,male,2545,2423,158,200,115,2
77,female,3516,2077,31,139,151,3
82,female,5634,1719,96,287,20,5
29,male,4816,2031,37,343,58,2
71,male,1031,2119,127,269,54,4
30,male,4825,2704,89,309,123,2
44,female,9735,2107,40,318,72,0
61,female,4822,1823,51,323,39,6
69,female,5012,1663,116,240,28,5
80,female,6216,1644,128,204,36,2
21,male,3026,1936,220,176,20,1
32,male,5646,2492,46,429,66,6
38,male,4816,2257,79,269,95,3
40,female,5632,1973,126,293,35,2
89,male,2545,2152,32,319,80,4
73,male,9711,2276,30,476,35,6
41,male,2517,2338,62,310,95,1
87,male,6535,1689,155,188,33,4
53,female,1023,2132,152,325,30,2
54,male,3035,2454,37,470,45,1
49,male,6514,2178,99,381,25,1
28,female,9731,1813,54,314,43,1
85,male,1028,2201,135,289,62,3
19,male,3023,2565,102,233,133,3
30,male,4811,2347,220,207,24,4
34,female,8927,2740,192,272,97,1
38,male,5045,2491,55,375,84,1
27,female,2014,2093,30,451,23,3
19,female,5033,2137,85,278,74,1
66,female,9728,2151,143,354,20,5
87,male,5632,2352,220,196,49,1
26,female,5622,1616,130,200,41,3
39,male,8912,2259,205,285,34,2
54,male,5033,2375,68,342,83,0
84,female,6224,1624,99,176,51,3
67,male,1036,2135,166,141,101,2
73,male,5622,2263,220,174,23,2
59,male,4811,2281,99,457,20,7
48,male,6221,2737,220,332,58,5
32,male,3023,2495,30,217,168,1
80,female,4817,1997,220,157,47,4
75,female,4816,2134,124,363,20,2
19,male,3026,2207,121,393,20,2
69,female,1033,2474,191,232,89,5
24,male,3041,2290,95,295,76,4
71,male,2517,2026,79,371,31,4
77,male,1028,1623,30,203,83,0
27,male,9712,2273,166,228,84,0
49,male,3516,1858,44,300,58,0
26,male,6216,2029,111,312,38,0
58,male,3041,2272,37,429,46,2
84,female,4811,1936,52,182,107,0
23,male,9728,2533,91,425,51,0
