age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
30,female,6215.0,1875.0,101,220,78,1
63,male,1825.0,2085.0,109,202,78,3
38,female,3510.0,2225.0,69,168,151,3
88,female,5020.0,2290.0,133,381,25,4
75,female,4815.0,2090.0,116,304,47,3
59,female,3025.0,2100.0,114,395,28,5
70,male,3025.0,1945.0,136,315,20,5
81,male,6535.0,1655.0,52,304,27,4
21,female,5020.0,2170.0,151,378,20,4
40,male,2545.0,2420.0,63,143,152,4
30,male,9710.0,2345.0,168,213,109,2
89,female,5025.0,1715.0,40,319,22,4
38,female,9720.0,2400.0,122,80,146,0
87,female,3535.0,1870.0,168,221,30,5
55,female,9730.0,1565.0,146,146,26,10
61,male,9710.0,2015.0,30,236,103,0
74,female,5015.0,1990.0,200,221,20,5
56,other,9710.0,2165.0,152,223,82,2
18,male,5020.0,2235.0,57,272,78,1
38,male,5615.0,2540.0,42,412,76,4
47,male,2015.0,2000.0,57,324,78,4
38,male,5645.0,2080.0,154,288,46,2
42,female,5035.0,2155.0,119,259,48,2
75,female,4815.0,2135.0,47,502,20,1
74,female,1825.0,1890.0,163,204,32,6
66,female,9730.0,2235.0,130,358,67,5
24,female,5620.0,2520.0,111,404,25,8
78,other,1025.0,2260.0,32,468,20,5
54,female,3550.0,2385.0,63,419,24,3
74,male,5620.0,2060.0,177,332,20,3
75,male,1035.0,2040.0,181,236,56,8
34,male,3515.0,2065.0,46,317,58,2
70,male,4825.0,2615.0,220,255,20,0
41,female,8925.0,2520.0,160,396,36,4
20,female,4810.0,2540.0,148,329,37,3
76,female,6215.0,1515.0,30,157,77,5
31,female,8910.0,2025.0,201,278,21,2
87,female,5635.0,1950.0,30,253,73,7
86,male,1825.0,2445.0,30,325,107,4
60,female,4825.0,1480.0,45,273,52,1
30,male,8910.0,2365.0,199,264,76,1
52,female,1045.0,1965.0,88,215,82,3
50,male,6515.0,2110.0,99,408,20,1
50,other,5020.0,2195.0,135,337,20,9
26,female,5620.0,2410.0,136,392,20,5
79,male,3025.0,2150.0,50,319,84,3
83,female,3025.0,2550.0,123,233,151,2
51,male,3025.0,2510.0,30,296,125,7
54,male,1030.0,2655.0,220,235,20,1
33,male,4820.0,1685.0,144,92,54,1
18,male,4815.0,2365.0,30,362,68,0
64,female,5025.0,1200.0,79,244,33,1
80,female,2015.0,1355.0,69,100,95,3
41,male,3035.0,2495.0,191,332,49,3
71,female,1030.0,1865.0,98,304,20,7
71,female,6215.0,1745.0,37,253,85,1
24,female,9730.0,2440.0,129,427,60,2
68,female,4815.0,1960.0,183,180,66,5
70,male,1825.0,1865.0,65,351,33,5
18,female,9710.0,2060.0,85,323,55,2
78,female,9710.0,1885.0,90,94,92,3
79,other,5010.0,2550.0,220,284,56,3
50,other,4820.0,2035.0,55,136,116,2
45,male,1035.0,2230.0,84,385,48,3
84,female,5645.0,1775.0,191,154,45,0
48,male,6210.0,2450.0,51,442,84,3
34,male,4820.0,1695.0,144,132,93,1
35,female,1025.0,1920.0,171,172,42,4
44,male,2015.0,2210.0,123,423,20,3
25,female,2545.0,2160.0,97,195,81,1
85,female,3515.0,1475.0,30,323,52,1
25,female,1025.0,2295.0,220,242,22,1
39,male,6225.0,1685.0,110,166,64,4
24,male,8920.0,2335.0,75,303,64,1
66,male,5620.0,2545.0,120,366,20,5
76,male,4810.0,2035.0,131,337,23,3
39,male,9720.0,2475.0,30,230,180,1
38,male,6225.0,2180.0,160,291,70,1
82,female,1045.0,1690.0,137,222,53,5
41,female,5025.0,1685.0,154,243,20,2
75,female,4815.0,2215.0,104,219,95,1
18,female,4815.0,1615.0,172,95,52,3
50,male,1825.0,2000.0,118,260,69,3
51,female,2545.0,2120.0,65,204,125,1
89,male,8925.0,2040.0,88,279,36,7
34,male,3515.0,2065.0,82,216,98,2
79,male,5035.0,2380.0,220,323,41,3
44,female,3515.0,2230.0,151,161,111,4
38,male,5630.0,2415.0,206,367,49,6
23,male,5620.0,2580.0,154,438,20,5
26,male,1815.0,2270.0,83,318,41,3
79,female,1035.0,1465.0,35,229,23,6
78,female,2015.0,2170.0,149,370,20,3
77,male,5620.0,2170.0,154,395,20,8
62,male,6515.0,2240.0,195,270,30,2
85,male,5645.0,2360.0,142,424,25,7
58,female,5610.0,2120.0,35,320,78,2
81,male,5645.0,2290.0,142,393,20,3
25,male,5620.0,2310.0,30,341,93,1
82,female,3510.0,2035.0,30,407,40,3
22,female,9730.0,2270.0,162,245,58,4
28,female,5025.0,1550.0,30,363,20,2
47,female,9720.0,2095.0,62,339,93,1
56,female,3540.0,1930.0,143,204,41,3
59,male,9730.0,1785.0,83,167,88,4
57,female,9730.0,1785.0,154,168,26,2
57,male,4815.0,1900.0,76,315,28,3
53,male,1825.0,2150.0,188,222,49,4
27,female,3025.0,2245.0,124,222,112,3
51,female,3510.0,2225.0,95,372,66,0
59,male,9730.0,2355.0,78,192,121,5
58,male,5010.0,1830.0,95,240,52,1
35,male,6210.0,2520.0,51,416,91,4
33,female,6225.0,2340.0,95,471,20,1
55,male,2545.0,2185.0,109,342,81,6
41,male,1035.0,2495.0,155,485,20,2
84,female,3535.0,1660.0,51,169,93,3
49,male,9710.0,2470.0,88,198,133,2
38,female,5035.0,2315.0,47,322,96,2
19,other,3535.0,1950.0,30,401,40,2
42,female,5610.0,2260.0,78,426,20,3
54,female,3515.0,2215.0,139,217,102,3
48,female,6220.0,2450.0,132,436,36,3
65,female,8920.0,1925.0,158,211,30,6
53,female,1815.0,1985.0,90,261,69,6
47,male,5620.0,2555.0,205,414,22,4
58,female,1035.0,2160.0,34,421,33,2
88,male,4810.0,2250.0,122,297,29,3
86,female,1035.0,1880.0,44,215,98,8
61,female,3035.0,2050.0,63,401,49,4
