age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
29.0,female,6215.0,1875,101,220,78,1
66.0,male,1825.0,2086,109,202,78,3
36.0,female,3513.0,2224,69,168,151,3
90.0,female,5023.0,2290,133,381,25,4
76.0,female,4815.0,2092,116,304,47,3
57.0,female,3024.0,2100,114,395,28,5
72.0,male,3026.0,1945,136,315,20,5
77.0,male,6537.0,1657,52,304,27,4
21.0,female,5022.0,2172,151,378,20,4
40.0,male,2545.0,2418,63,143,152,4
28.0,male,9713.0,2343,168,213,109,2
89.0,female,5024.0,1717,40,319,22,4
38.0,female,9724.0,2399,122,80,146,0
87.0,female,3535.0,1868,168,221,30,5
57.0,female,9730.0,1564,146,146,26,10
60.0,male,9712.0,2013,30,236,103,0
72.0,female,5017.0,1992,200,221,20,5
56.0,other,9709.0,2163,152,223,82,2
18.0,male,5023.0,2237,57,272,78,1
38.0,male,5618.0,2541,42,412,76,4
46.0,male,2013.0,1999,57,324,78,4
36.0,male,5646.0,2080,154,288,46,2
41.0,female,5035.0,2153,119,259,48,2
74.0,female,4815.0,2134,47,502,20,1
74.0,female,1824.0,1889,163,204,32,6
71.0,female,9728.0,2237,130,358,67,5
22.0,female,5623.0,2519,111,404,25,8
78.0,other,1023.0,2261,32,468,20,5
51.0,female,3550.0,2384,63,419,24,3
75.0,male,5621.0,2061,177,332,20,3
76.0,male,1037.0,2042,181,236,56,8
35.0,male,3516.0,2066,46,317,58,2
73.0,male,4824.0,2613,220,255,20,0
41.0,female,8927.0,2521,160,396,36,4
20.0,female,4812.0,2542,148,329,37,3
76.0,female,6216.0,1515,30,157,77,5
31.0,female,8915.0,2023,201,278,21,2
86.0,female,5634.0,1949,30,253,73,7
89.0,male,1828.0,2446,30,325,107,4
61.0,female,4825.0,1479,45,273,52,1
30.0,male,8913.0,2365,199,264,76,1
53.0,female,1044.0,1966,88,215,82,3
55.0,male,6511.0,2108,99,408,20,1
50.0,other,5024.0,2194,135,337,20,9
25.0,female,5620.0,2412,136,392,20,5
79.0,male,3024.0,2150,50,319,84,3
82.0,female,3023.0,2552,123,233,151,2
52.0,male,3022.0,2511,30,296,125,7
54.0,male,1029.0,2657,220,235,20,1
33.0,male,4822.0,1683,144,92,54,1
17.0,male,4819.0,2366,30,362,68,0
64.0,female,5024.0,1200,79,244,33,1
81.0,female,2014.0,1356,69,100,95,3
43.0,male,3037.0,2494,191,332,49,3
71.0,female,1029.0,1865,98,304,20,7
64.0,female,6218.0,1743,37,253,85,1
24.0,female,9728.0,2439,129,427,60,2
67.0,female,4820.0,1961,183,180,66,5
66.0,male,1822.0,1863,65,351,33,5
19.0,female,9711.0,2058,85,323,55,2
77.0,female,9710.0,1886,90,94,92,3
78.0,other,5012.0,2551,220,284,56,3
51.0,other,4822.0,2035,55,136,116,2
45.0,male,1035.0,2229,84,385,48,3
86.0,female,5643.0,1776,191,154,45,0
47.0,male,6212.0,2451,51,442,84,3
35.0,male,4821.0,1695,144,132,93,1
36.0,female,1024.0,1922,171,172,42,4
44.0,male,2015.0,2212,123,423,20,3
25.0,female,2546.0,2162,97,195,81,1
87.0,female,3518.0,1475,30,323,52,1
23.0,female,1025.0,2297,220,242,22,1
34.0,male,6226.0,1683,110,166,64,4
23.0,male,8921.0,2336,75,303,64,1
66.0,male,5621.0,2543,120,366,20,5
76.0,male,4812.0,2037,131,337,23,3
39.0,male,9722.0,2474,30,230,180,1
36.0,male,6224.0,2179,160,291,70,1
82.0,female,1047.0,1692,137,222,53,5
36.0,female,5023.0,1683,154,243,20,2
75.0,female,4818.0,2215,104,219,95,1
19.0,female,4816.0,1616,172,95,52,3
54.0,male,1826.0,1999,118,260,69,3
51.0,female,2546.0,2122,65,204,125,1
90.0,male,8928.0,2042,88,279,36,7
33.0,male,3516.0,2066,82,216,98,2
80.0,male,5034.0,2381,220,323,41,3
47.0,female,3510.0,2232,151,161,111,4
38.0,male,5634.0,2417,206,367,49,6
22.0,male,5616.0,2582,154,438,20,5
26.0,male,1813.0,2272,83,318,41,3
77.0,female,1034.0,1467,35,229,23,6
73.0,female,2012.0,2172,149,370,20,3
78.0,male,5621.0,2170,154,395,20,8
60.0,male,6512.0,2242,195,270,30,2
83.0,male,5646.0,2362,142,424,25,7
59.0,female,5612.0,2120,35,320,78,2
81.0,male,5646.0,2291,142,393,20,3
26.0,male,5621.0,2311,30,341,93,1
81.0,female,3509.0,2036,30,407,40,3
21.0,female,9729.0,2270,162,245,58,4
26.0,female,5026.0,1548,30,363,20,2
48.0,female,9722.0,2093,62,339,93,1
56.0,female,3544.0,1928,143,204,41,3
62.0,male,9732.0,1783,83,167,88,4
58.0,female,9731.0,1785,154,168,26,2
57.0,male,4814.0,1898,76,315,28,3
55.0,male,1824.0,2149,188,222,49,4
26.0,female,3023.0,2245,124,222,112,3
52.0,female,3510.0,2223,95,372,66,0
60.0,male,9727.0,2355,78,192,121,5
57.0,male,5012.0,1829,95,240,52,1
35.0,male,6210.0,2518,51,416,91,4
35.0,female,6225.0,2338,95,471,20,1
55.0,male,2545.0,2184,109,342,81,6
40.0,male,1033.0,2493,155,485,20,2
84.0,female,3535.0,1661,51,169,93,3
49.0,male,9712.0,2468,88,198,133,2
38.0,female,5032.0,2315,47,322,96,2
20.0,other,3537.0,1949,30,401,40,2
42.0,female,5614.0,2260,78,426,20,3
53.0,female,3514.0,2216,139,217,102,3
48.0,female,6220.0,2451,132,436,36,3
65.0,female,8920.0,1925,158,211,30,6
52.0,female,1812.0,1985,90,261,69,6
50.0,male,5621.0,2555,205,414,22,4
57.0,female,1033.0,2158,34,421,33,2
88.0,male,4810.0,2252,122,297,29,3
83.0,female,1033.0,1881,44,215,98,8
64.0,female,3032.0,2052,63,401,49,4
77.0,female,4817.0,2113,30,453,35,6
64.0,female,5035.0,1788,77,133,98,2
66.0,female,5022.0,2061,178,276,20,2
51.0,male,1824.0,2325,220,311,20,5
38.0,male,5026.0,2752,86,415,63,2
50.0,female,5611.0,1636,220,80,69,4
66.0,male,1824.0,1952,34,221,107,2
60.0,female,4823.0,1542,76,100,85,0
82.0,male,3512.0,2400,172,301,86,4
52.0,male,4818.0,2271,220,161,77,3
73.0,male,5646.0,2013,139,220,44,5
80.0,female,6216.0,1597,89,305,23,3
44.0,male,3516.0,2159,55,331,82,2
34.0,female,5631.0,1866,54,220,98,3
44.0,male,3542.0,2636,167,358,49,4
46.0,female,2543.0,2340,116,143,142,5
42.0,male,1827.0,2312,46,507,20,5
50.0,male,5040.0,2211,56,172,161,2
15.0,male,5045.0,2115,124,288,22,7
26.0,other,9713.0,2171,220,287,47,3
68.0,male,4814.0,2125,31,474,20,2
78.0,female,2017.0,1426,78,122,123,5
67.0,other,3514.0,1830,97,303,20,3
80.0,female,1037.0,1577,98,163,62,8
52.0,female,5634.0,2137,129,421,20,3
25.0,male,5622.0,1974,97,135,92,3
84.0,female,3533.0,1989,50,356,44,2
37.0,male,2518.0,2242,114,427,20,2
30.0,female,1023.0,2015,72,422,21,2
74.0,male,4812.0,2152,31,380,59,7
58.0,male,3515.0,2626,213,379,20,2
63.0,male,1034.0,2413,159,319,75,6
45.0,male,3040.0,1857,129,306,33,2
71.0,male,3532.0,2628,59,600,20,9
42.0,female,4819.0,1632,74,262,29,1
32.0,male,9712.0,2535,38,263,132,1
49.0,male,3530.0,1883,109,325,32,7
53.0,female,8928.0,2066,71,255,97,8
64.0,female,3027.0,1787,30,427,20,6
82.0,male,4814.0,1940,88,280,45,4
56.0,male,1036.0,2529,123,393,85,3
66.0,male,3515.0,2569,98,330,92,2
41.0,male,4824.0,2575,220,255,82,2
65.0,male,1035.0,2330,143,336,48,4
60.0,male,1024.0,2103,114,342,20,6
50.0,male,5613.0,2322,172,349,29,5
87.0,female,1032.0,2297,202,116,120,2
50.0,male,3041.0,2148,177,277,20,6
49.0,male,6211.0,2512,63,410,90,4
27.0,female,3511.0,1257,56,236,43,2
78.0,male,4813.0,2060,147,179,84,2
41.0,female,5045.0,2222,208,268,61,7
32.0,female,1812.0,2443,153,364,31,2
72.0,female,2510.0,2045,192,222,35,2
78.0,female,1032.0,2300,65,251,111,4
57.0,male,3038.0,1829,85,281,33,0
81.0,male,5013.0,2221,42,468,20,3
54.0,female,6211.0,1795,52,347,48,6
35.0,female,1024.0,1866,106,392,20,6
55.0,other,5617.0,2165,120,381,34,7
87.0,female,4825.0,1531,30,266,63,7
50.0,female,3534.0,1937,105,306,42,1
19.0,female,5024.0,1902,30,402,20,3
62.0,other,9711.0,1743,166,215,20,7
61.0,female,1032.0,2102,88,393,40,2
19.0,male,1816.0,2623,89,365,37,2
26.0,male,6225.0,2179,87,406,34,1
33.0,female,5040.0,2557,139,364,75,2
34.0,female,5012.0,2414,30,309,102,4
41.0,male,6212.0,2348,107,395,44,2
30.0,male,3547.0,2299,115,411,20,4
42.0,female,5034.0,2212,56,172,141,2
26.0,female,1033.0,2028,114,306,64,4
