"age","gender","zip_code","daily_kcal","protein_g","carbs_g","fat_g","fruit_portions"
30,"female","6216",1875,101,220,78,1
63,"male","1825",2086,109,202,78,3
38,"female","3511",2224,69,168,151,3
88,"female","5022",2290,133,381,25,4
75,"female","4816",2092,116,304,47,3
59,"female","3024",2100,114,395,28,5
70,"male","3026",1945,136,315,20,5
81,"male","6535",1657,52,304,27,4
21,"female","5022",2172,151,378,20,4
40,"male","2545",2418,63,143,152,4
30,"male","9712",2343,168,213,109,2
89,"female","5025",1717,40,319,22,4
38,"female","9721",2399,122,80,146,0
87,"female","3534",1868,168,221,30,5
55,"female","9731",1564,146,146,26,10
61,"male","9712",2013,30,236,103,0
74,"female","5014",1992,200,221,20,5
56,"other","9712",2163,152,223,82,2
18,"male","5022",2237,57,272,78,1
38,"male","5616",2541,42,412,76,4
47,"male","2014",1999,57,324,78,4
38,"male","5646",2080,154,288,46,2
42,"female","5033",2153,119,259,48,2
75,"female","4816",2134,47,502,20,1
74,"female","1825",1889,163,204,32,6
66,"female","9728",2237,130,358,67,5
24,"female","5622",2519,111,404,25,8
78,"other","1023",2261,32,468,20,5
54,"female","3548",2384,63,419,24,3
74,"male","5622",2061,177,332,20,3
75,"male","1033",2042,181,236,56,8
34,"male","3516",2066,46,317,58,2
70,"male","4825",2613,220,255,20,0
41,"female","8927",2521,160,396,36,4
20,"female","4811",2542,148,329,37,3
76,"female","6216",1515,30,157,77,5
31,"female","8912",2023,201,278,21,2
87,"female","5634",1949,30,253,73,7
86,"male","1825",2446,30,325,107,4
60,"female","4825",1479,45,273,52,1
30,"male","8912",2365,199,264,76,1
52,"female","1046",1966,88,215,82,3
50,"male","6514",2108,99,408,20,1
50,"other","5022",2194,135,337,20,9
26,"female","5622",2412,136,392,20,5
79,"male","3023",2150,50,319,84,3
83,"female","3023",2552,123,233,151,2
51,"male","3023",2511,30,296,125,7
54,"male","1028",2657,220,235,20,1
33,"male","4822",1683,144,92,54,1
18,"male","4817",2366,30,362,68,0
64,"female","5025",1200,79,244,33,1
80,"female","2014",1356,69,100,95,3
41,"male","3035",2494,191,332,49,3
71,"female","1031",1865,98,304,20,7
71,"female","6216",1743,37,253,85,1
24,"female","9728",2439,129,427,60,2
68,"female","4816",1961,183,180,66,5
70,"male","1823",1863,65,351,33,5
18,"female","9711",2058,85,323,55,2
78,"female","9712",1886,90,94,92,3
79,"other","5012",2551,220,284,56,3
50,"other","4822",2035,55,136,116,2
45,"male","1035",2229,84,385,48,3
84,"female","5646",1776,191,154,45,0
48,"male","6211",2451,51,442,84,3
34,"male","4822",1695,144,132,93,1
35,"female","1023",1922,171,172,42,4
44,"male","2014",2212,123,423,20,3
25,"female","2545",2162,97,195,81,1
85,"female","3516",1475,30,323,52,1
25,"female","1023",2297,220,242,22,1
39,"male","6224",1683,110,166,64,4
24,"male","8921",2336,75,303,64,1
66,"male","5622",2543,120,366,20,5
76,"male","4811",2037,131,337,23,3
39,"male","9721",2474,30,230,180,1
38,"male","6224",2179,160,291,70,1
82,"female","1046",1692,137,222,53,5
41,"female","5025",1683,154,243,20,2
75,"female","4817",2215,104,219,95,1
18,"female","4816",1616,172,95,52,3
50,"male","1825",1999,118,260,69,3
51,"female","2545",2122,65,204,125,1
89,"male","8927",2042,88,279,36,7
34,"male","3516",2066,82,216,98,2
79,"male","5033",2381,220,323,41,3
44,"female","3514",2232,151,161,111,4
38,"male","5632",2417,206,367,49,6
23,"male","5622",2582,154,438,20,5
26,"male","1813",2272,83,318,41,3
79,"female","1036",1467,35,229,23,6
78,"female","2014",2172,149,370,20,3
77,"male","5622",2170,154,395,20,8
62,"male","6514",2242,195,270,30,2
85,"male","5646",2362,142,424,25,7
58,"female","5612",2120,35,320,78,2
81,"male","5646",2291,142,393,20,3
25,"male","5621",2311,30,341,93,1
82,"female","3511",2036,30,407,40,3
22,"female","9728",2270,162,245,58,4
28,"female","5025",1548,30,363,20,2
47,"female","9721",2093,62,339,93,1
56,"female","3542",1928,143,204,41,3
59,"male","9731",1783,83,167,88,4
57,"female","9731",1785,154,168,26,2
57,"male","4816",1898,76,315,28,3
53,"male","1825",2149,188,222,49,4
27,"female","3023",2245,124,222,112,3
51,"female","3511",2223,95,372,66,0
59,"male","9728",2355,78,192,121,5
58,"male","5012",1829,95,240,52,1
35,"male","6211",2518,51,416,91,4
33,"female","6224",2338,95,471,20,1
55,"male","2545",2184,109,342,81,6
41,"male","1033",2493,155,485,20,2
84,"female","3534",1661,51,169,93,3
49,"male","9712",2468,88,198,133,2
38,"female","5033",2315,47,322,96,2
19,"other","3534",1949,30,401,40,2
42,"female","5612",2260,78,426,20,3
54,"female","3514",2216,139,217,102,3
48,"female","6221",2451,132,436,36,3
65,"female","8921",1925,158,211,30,6
53,"female","1813",1985,90,261,69,6
47,"male","5622",2555,205,414,22,4
58,"female","1033",2158,34,421,33,2
88,"male","4811",2252,122,297,29,3
86,"female","1035",1881,44,215,98,8
61,"female","3035",2052,63,401,49,4
75,"female","4817",2113,30,453,35,6
63,"female","5033",1788,77,133,98,2
68,"female","5022",2061,178,276,20,2
50,"male","1825",2325,220,311,20,5
39,"male","5022",2752,86,415,63,2
53,"female","5612",1636,220,80,69,4
64,"male","1825",1952,34,221,107,2
57,"female","4822",1542,76,100,85,0
83,"male","3511",2400,172,301,86,4
48,"male","4817",2271,220,161,77,3
73,"male","5646",2013,139,220,44,5
79,"female","6216",1597,89,305,23,3
47,"male","3516",2159,55,331,82,2
33,"female","5632",1866,54,220,98,3
44,"male","3542",2636,167,358,49,4
47,"female","2545",2340,116,143,142,5
39,"male","1823",2312,46,507,20,5
50,"male","5033",2211,56,172,161,2
19,"male","5045",2115,124,288,22,7
24,"other","9712",2171,220,287,47,3
68,"male","4811",2125,31,474,20,2
85,"female","2014",1426,78,122,123,5
71,"other","3515",1830,97,303,20,3
79,"female","1036",1577,98,163,62,8
53,"female","5632",2137,129,421,20,3
24,"male","5621",1974,97,135,92,3
84,"female","3534",1989,50,356,44,2
37,"male","2517",2242,114,427,20,2
29,"female","1023",2015,72,422,21,2
76,"male","4811",2152,31,380,59,7
58,"male","3514",2626,213,379,20,2
63,"male","1035",2413,159,319,75,6
42,"male","3041",1857,129,306,33,2
70,"male","3531",2628,59,600,20,9
44,"female","4817",1632,74,262,29,1
27,"male","9711",2535,38,263,132,1
51,"male","3531",1883,109,325,32,7
53,"female","8927",2066,71,255,97,8
64,"female","3026",1787,30,427,20,6
80,"male","4817",1940,88,280,45,4
57,"male","1036",2529,123,393,85,3
66,"male","3514",2569,98,330,92,2
40,"male","4825",2575,220,255,82,2
65,"male","1035",2330,143,336,48,4
63,"male","1023",2103,114,342,20,6
47,"male","5612",2322,172,349,29,5
87,"female","1031",2297,202,116,120,2
50,"male","3041",2148,177,277,20,6
48,"male","6211",2512,63,410,90,4
26,"female","3511",1257,56,236,43,2
80,"male","4811",2060,147,179,84,2
38,"female","5045",2222,208,268,61,7
35,"female","1813",2443,153,364,31,2
71,"female","2517",2045,192,222,35,2
78,"female","1031",2300,65,251,111,4
56,"male","3041",1829,85,281,33,0
84,"male","5014",2221,42,468,20,3
54,"female","6211",1795,52,347,48,6
35,"female","1023",1866,106,392,20,6
52,"other","5616",2165,120,381,34,7
87,"female","4825",1531,30,266,63,7
49,"female","3534",1937,105,306,42,1
19,"female","5025",1902,30,402,20,3
62,"other","9712",1743,166,215,20,7
60,"female","1033",2102,88,393,40,2
19,"male","1813",2623,89,365,37,2
24,"male","6224",2179,87,406,34,1
33,"female","5045",2557,139,364,75,2
32,"female","5012",2414,30,309,102,4
42,"male","6211",2348,107,395,44,2
30,"male","3548",2299,115,411,20,4
41,"female","5033",2212,56,172,141,2
26,"female","1036",2028,114,306,64,4
58,"male","1033",2246,85,239,104,2
60,"female","3515",1947,41,179,122,5
52,"other","4822",2035,88,104,110,5
71,"female","2545",2789,220,139,119,1
32,"female","5622",2428,30,550,20,8
42,"male","5646",2790,175,439,23,3
26,"male","6211",2518,149,442,45,2
53,"male","4817",2480,30,98,176,1
31,"male","4825",2353,124,268,103,3
36,"male","1036",2036,39,309,52,3
29,"male","6535",2115,220,161,44,7
87,"male","6211",2159,162,324,53,4
74,"female","2517",1505,69,256,20,8
27,"male","1046",2559,212,353,34,2
75,"female","4816",2134,39,332,77,2
79,"female","6211",1630,30,180,95,5
62,"male","5632",2268,109,324,101,1
44,"male","1031",2198,30,378,71,1
19,"male","2014",2496,113,309,98,2
80,"other","8912",1551,75,203,59,1
30,"female","3035",2563,207,257,113,2
27,"male","5616",2263,206,283,52,2
59,"male","5644",2000,128,213,61,1
29,"male","1825",2049,85,410,20,3
57,"male","9712",2067,30,165,116,2
69,"male","8912",2133,105,310,63,2
21,"male","3041",2320,220,118,62,3
23,"male","1813",1925,108,298,28,3
87,"female","6211",1627,31,335,41,7
53,"female","5621",1440,76,246,20,2
68,"female","3516",1797,182,102,20,3
40,"male","3023",2413,69,236,142,1
61,"female","5014",1839,38,414,23,4
68,"female","3531",2069,74,345,39,3
