age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
30,male,4810.0,2470.0,213,247,121,5
57,male,8910.0,2085.0,188,272,30,2
74,female,5615.0,2090.0,117,339,24,3
75,female,9730.0,2105.0,95,237,81,1
87,male,2015.0,1835.0,65,263,66,1
28,male,5045.0,1755.0,163,279,32,7
21,female,1825.0,2100.0,30,360,39,2
54,male,9730.0,1835.0,78,263,44,3
66,female,5645.0,1585.0,98,100,60,1
44,other,6210.0,2855.0,30,396,84,3
20,female,3515.0,1695.0,192,80,48,2
34,female,5035.0,1760.0,30,376,83,2
51,male,5615.0,1940.0,173,324,20,4
77,male,1035.0,2305.0,57,441,74,6
79,female,1030.0,1385.0,62,184,85,2
19,female,5035.0,2135.0,87,278,66,2
44,female,3035.0,2110.0,112,115,124,3
88,male,9720.0,2550.0,205,257,48,3
57,male,3540.0,2155.0,76,410,20,4
70,female,3510.0,2050.0,166,209,91,3
47,male,5635.0,2225.0,70,403,38,4
71,female,3515.0,1875.0,113,217,75,3
65,female,4810.0,2200.0,36,474,54,5
21,male,6215.0,2570.0,220,306,20,5
30,male,6225.0,1785.0,30,253,75,2
24,male,1825.0,2270.0,123,345,25,7
62,female,5035.0,1750.0,102,280,40,3
32,female,2015.0,1860.0,41,366,20,4
74,female,6220.0,2030.0,86,287,31,9
77,female,1825.0,1350.0,82,287,62,6
54,male,6225.0,2305.0,137,402,20,7
77,female,9720.0,1860.0,67,315,71,5
56,female,1025.0,2115.0,220,214,32,4
38,male,1030.0,2215.0,48,388,37,4
59,male,5035.0,2425.0,220,286,25,4
52,male,3515.0,1830.0,97,267,41,1
23,female,4810.0,2465.0,111,439,20,3
88,female,5645.0,1760.0,40,290,20,5
55,female,9710.0,2310.0,71,239,116,4
29,male,1825.0,2330.0,123,414,28,3
54,male,2515.0,2370.0,39,359,50,8
33,male,5015.0,2370.0,168,456,20,4
44,male,6225.0,2295.0,127,378,51,3
87,male,9730.0,2245.0,132,282,53,6
51,male,1825.0,1820.0,116,339,20,8
18,other,6220.0,2060.0,120,263,54,4
54,male,3025.0,2425.0,141,335,20,3
27,female,6210.0,2045.0,120,103,93,5
80,female,1025.0,2600.0,130,427,42,7
19,male,9720.0,2495.0,55,436,68,3
62,male,5025.0,2125.0,195,270,24,3
85,female,3025.0,1410.0,35,155,62,4
21,female,1035.0,2455.0,137,370,45,2
31,female,5620.0,2535.0,74,366,115,7
29,other,6225.0,1785.0,168,133,45,5
22,male,5035.0,2075.0,135,219,75,2
81,female,3040.0,1670.0,172,142,26,2
79,female,5035.0,2175.0,181,165,56,2
46,male,6220.0,2325.0,154,359,53,1
21,male,9710.0,2225.0,75,225,111,1
75,male,3025.0,1935.0,85,409,20,5
71,female,2515.0,1935.0,110,291,32,5
55,female,8925.0,2490.0,118,392,60,8
67,male,9735.0,2450.0,105,188,142,5
22,female,1045.0,2400.0,66,474,20,4
27,female,9710.0,1770.0,220,116,62,1
76,female,3515.0,2015.0,220,255,20,2
25,male,1035.0,2005.0,40,351,20,1
55,female,2515.0,2280.0,30,439,20,5
89,female,1035.0,1985.0,30,380,47,2
28,other,5645.0,1960.0,97,295,48,2
59,female,1030.0,1860.0,72,345,37,0
84,male,4815.0,2805.0,206,358,20,4
37,female,3025.0,2070.0,220,104,99,2
60,female,3510.0,2145.0,57,320,70,10
86,male,6210.0,1930.0,162,304,28,4
41,male,6515.0,2350.0,57,401,53,1
39,male,6225.0,1685.0,133,166,54,1
82,female,4820.0,2005.0,79,153,93,2
64,male,4815.0,2170.0,181,177,71,3
79,male,3550.0,2230.0,102,285,35,1
77,male,6225.0,1650.0,192,180,20,5
48,male,5610.0,2600.0,150,474,20,6
88,female,3510.0,1930.0,72,304,37,2
52,male,3515.0,2135.0,220,154,48,2
44,female,4815.0,1995.0,30,156,116,2
26,male,2515.0,1970.0,89,319,20,6
50,male,3550.0,2470.0,104,479,20,4
75,other,3540.0,1830.0,74,146,115,0
46,male,5035.0,2175.0,57,315,97,3
35,female,3515.0,1785.0,194,195,32,4
75,female,5610.0,2000.0,178,150,60,1
77,male,2015.0,2400.0,73,338,62,6
67,male,1825.0,2165.0,95,343,42,7
83,female,5635.0,1990.0,30,354,76,7
24,male,1825.0,1975.0,130,339,20,8
72,male,3510.0,2275.0,45,291,110,3
39,male,3025.0,2480.0,57,475,20,8
72,male,9710.0,1760.0,96,188,110,1
71,female,3025.0,1940.0,89,267,49,2
26,other,3025.0,2245.0,98,339,66,2
35,female,3515.0,2030.0,163,248,31,3
30,male,6220.0,2385.0,113,142,119,2
19,female,5635.0,1750.0,65,105,80,4
64,female,1035.0,2175.0,148,361,44,5
43,female,5010.0,2135.0,220,129,67,1
32,male,8910.0,2235.0,114,419,28,1
22,female,3510.0,2235.0,30,236,100,4
61,female,1030.0,2190.0,220,95,84,1
38,female,3530.0,1535.0,59,243,33,2
56,female,4825.0,2370.0,185,261,73,0
51,female,3025.0,2120.0,220,195,35,0
87,male,5645.0,1975.0,76,269,49,6
33,female,5045.0,2225.0,153,326,43,4
64,female,1030.0,1535.0,147,121,38,4
30,female,5020.0,2445.0,220,371,20,1
65,female,1035.0,1890.0,104,209,68,4
80,male,4815.0,2385.0,82,335,53,3
77,male,6225.0,1635.0,145,201,36,2
58,female,6210.0,2300.0,58,472,65,2
78,other,1025.0,2370.0,130,397,20,3
19,male,3025.0,2240.0,218,341,20,4
32,female,3515.0,2035.0,82,338,74,0
72,male,3535.0,2095.0,72,115,151,2
70,male,3025.0,2385.0,220,348,22,2
41,male,6210.0,2175.0,70,321,68,1
29,female,5630.0,2320.0,215,244,60,3
43,male,8910.0,2085.0,162,257,47,3
40,male,5610.0,2770.0,220,428,29,1
22,male,5645.0,2200.0,143,341,20,2
34,female,1825.0,2100.0,177,266,39,3
87,male,5015.0,1995.0,218,192,20,6
87,male,2015.0,1810.0,58,300,20,1
57,male,5015.0,2345.0,183,475,20,3
61,female,3025.0,1910.0,106,303,47,3
42,male,6225.0,2295.0,70,272,87,1
42,female,4810.0,2665.0,82,572,20,4
23,male,9730.0,1910.0,131,333,20,5
27,female,5630.0,2780.0,220,227,52,2
28,male,5630.0,2760.0,139,380,20,2
34,female,2515.0,2140.0,112,434,20,1
88,female,5645.0,1750.0,47,253,77,6
41,female,9730.0,1710.0,49,367,20,2
61,female,1030.0,1650.0,145,80,45,4
53,female,5620.0,1855.0,122,200,44,3
25,female,3035.0,2545.0,220,345,21,3
24,female,5620.0,2310.0,44,514,20,5
53,female,3550.0,1965.0,30,369,39,6
65,male,1035.0,2515.0,220,317,26,6
81,female,3550.0,2180.0,143,353,20,4
87,male,5635.0,2270.0,176,341,20,5
40,male,3025.0,1920.0,120,277,49,4
82,male,6225.0,1555.0,120,292,30,3
42,male,4825.0,2285.0,115,382,36,4
30,female,4815.0,2370.0,160,269,66,5
20,male,1025.0,1925.0,117,358,20,2
66,female,5645.0,1795.0,63,319,39,1
62,female,2545.0,2580.0,120,345,72,2
43,male,9730.0,1850.0,192,172,42,7
50,male,6515.0,2180.0,60,263,101,4
62,female,2015.0,2200.0,92,285,44,7
35,female,1035.0,2260.0,122,361,23,0
44,female,4815.0,1990.0,125,195,64,2
64,female,5025.0,1415.0,43,297,20,9
20,male,1815.0,2260.0,220,187,25,2
54,female,3550.0,2385.0,164,433,24,3
82,female,5615.0,2005.0,205,222,23,4
56,male,3040.0,2150.0,148,395,20,5
55,male,3535.0,2295.0,130,216,95,5
29,male,5025.0,2110.0,215,309,20,3
74,male,5645.0,2380.0,142,369,21,4
59,female,3510.0,2090.0,30,265,89,6
59,male,5645.0,2255.0,59,427,20,5
50,other,6220.0,2540.0,110,364,115,6
21,female,2015.0,1850.0,87,346,20,4
82,female,1825.0,1545.0,61,257,20,3
