age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
30.0,male,4811.0,2470,213,247,121,5
58.0,male,8912.0,2085,188,272,30,2
73.0,female,5616.0,2092,117,339,24,3
73.0,female,9727.0,2105,95,237,81,1
88.0,male,2014.0,1833,65,263,66,1
28.0,male,5044.0,1756,163,279,32,7
19.0,female,1827.0,2102,30,360,39,2
54.0,male,9730.0,1833,78,263,44,3
66.0,female,5644.0,1587,98,100,60,1
45.0,other,6216.0,2853,30,396,84,3
21.0,female,3516.0,1694,192,80,48,2
34.0,female,5034.0,1758,30,376,83,2
51.0,male,5617.0,1939,173,324,20,4
76.0,male,1034.0,2303,57,441,74,6
85.0,female,1028.0,1384,62,184,85,2
19.0,female,5034.0,2137,87,278,66,2
47.0,female,3035.0,2108,112,115,124,3
92.0,male,9718.0,2551,205,257,48,3
56.0,male,3543.0,2157,76,410,20,4
70.0,female,3511.0,2049,166,209,91,3
44.0,male,5634.0,2223,70,403,38,4
75.0,female,3513.0,1873,113,217,75,3
64.0,female,4811.0,2200,36,474,54,5
20.0,male,6212.0,2571,220,306,20,5
31.0,male,6225.0,1785,30,253,75,2
23.0,male,1823.0,2271,123,345,25,7
57.0,female,5031.0,1752,102,280,40,3
35.0,female,2017.0,1858,41,366,20,4
76.0,female,6220.0,2032,86,287,31,9
77.0,female,1818.0,1349,82,287,62,6
52.0,male,6224.0,2307,137,402,20,7
77.0,female,9721.0,1860,67,315,71,5
56.0,female,1023.0,2117,220,214,32,4
34.0,male,1035.0,2213,48,388,37,4
59.0,male,5031.0,2424,220,286,25,4
51.0,male,3515.0,1829,97,267,41,1
20.0,female,4811.0,2465,111,439,20,3
90.0,female,5646.0,1760,40,290,20,5
55.0,female,9712.0,2309,71,239,116,4
31.0,male,1822.0,2330,123,414,28,3
54.0,male,2518.0,2370,39,359,50,8
31.0,male,5013.0,2369,168,456,20,4
44.0,male,6223.0,2293,127,378,51,3
87.0,male,9726.0,2247,132,282,53,6
51.0,male,1823.0,1819,116,339,20,8
18.0,other,6220.0,2058,120,263,54,4
54.0,male,3025.0,2424,141,335,20,3
28.0,female,6211.0,2046,120,103,93,5
81.0,female,1023.0,2600,130,427,42,7
20.0,male,9723.0,2496,55,436,68,3
62.0,male,5024.0,2125,195,270,24,3
86.0,female,3028.0,1408,35,155,62,4
21.0,female,1033.0,2454,137,370,45,2
31.0,female,5621.0,2537,74,366,115,7
31.0,other,6223.0,1785,168,133,45,5
22.0,male,5033.0,2077,135,219,75,2
81.0,female,3041.0,1668,172,142,26,2
79.0,female,5032.0,2175,181,165,56,2
42.0,male,6220.0,2323,154,359,53,1
20.0,male,9711.0,2227,75,225,111,1
75.0,male,3026.0,1935,85,409,20,5
69.0,female,2517.0,1935,110,291,32,5
56.0,female,8926.0,2488,118,392,60,8
69.0,male,9731.0,2450,105,188,142,5
20.0,female,1047.0,2401,66,474,20,4
31.0,female,9710.0,1770,220,116,62,1
73.0,female,3515.0,2016,220,255,20,2
25.0,male,1035.0,2004,40,351,20,1
56.0,female,2518.0,2281,30,439,20,5
88.0,female,1037.0,1984,30,380,47,2
28.0,other,5642.0,1958,97,295,48,2
56.0,female,1031.0,1859,72,345,37,0
79.0,male,4814.0,2806,206,358,20,4
38.0,female,3027.0,2068,220,104,99,2
60.0,female,3511.0,2146,57,320,70,10
89.0,male,6209.0,1930,162,304,28,4
41.0,male,6512.0,2351,57,401,53,1
39.0,male,6223.0,1683,133,166,54,1
83.0,female,4822.0,2004,79,153,93,2
64.0,male,4816.0,2169,181,177,71,3
76.0,male,3549.0,2232,102,285,35,1
76.0,male,6223.0,1651,192,180,20,5
46.0,male,5609.0,2598,150,474,20,6
87.0,female,3510.0,1928,72,304,37,2
52.0,male,3514.0,2137,220,154,48,2
44.0,female,4815.0,1995,30,156,116,2
26.0,male,2522.0,1972,89,319,20,6
51.0,male,3548.0,2471,104,479,20,4
73.0,other,3543.0,1831,74,146,115,0
45.0,male,5033.0,2173,57,315,97,3
34.0,female,3516.0,1785,194,195,32,4
74.0,female,5611.0,2001,178,150,60,1
78.0,male,2013.0,2400,73,338,62,6
67.0,male,1821.0,2165,95,343,42,7
87.0,female,5634.0,1991,30,354,76,7
28.0,male,1824.0,1974,130,339,20,8
72.0,male,3511.0,2276,45,291,110,3
40.0,male,3028.0,2482,57,475,20,8
76.0,male,9712.0,1758,96,188,110,1
71.0,female,3024.0,1940,89,267,49,2
25.0,other,3024.0,2245,98,339,66,2
35.0,female,3514.0,2028,163,248,31,3
30.0,male,6224.0,2384,113,142,119,2
19.0,female,5634.0,1748,65,105,80,4
64.0,female,1032.0,2176,148,361,44,5
45.0,female,5015.0,2133,220,129,67,1
31.0,male,8911.0,2237,114,419,28,1
17.0,female,3511.0,2233,30,236,100,4
61.0,female,1027.0,2189,220,95,84,1
38.0,female,3530.0,1534,59,243,33,2
57.0,female,4824.0,2371,185,261,73,0
52.0,female,3020.0,2122,220,195,35,0
86.0,male,5649.0,1977,76,269,49,6
33.0,female,5048.0,2224,153,326,43,4
68.0,female,1028.0,1536,147,121,38,4
32.0,female,5023.0,2447,220,371,20,1
66.0,female,1035.0,1888,104,209,68,4
78.0,male,4817.0,2385,82,335,53,3
76.0,male,6224.0,1634,145,201,36,2
58.0,female,6212.0,2300,58,472,65,2
79.0,other,1022.0,2371,130,397,20,3
19.0,male,3022.0,2239,218,341,20,4
30.0,female,3516.0,2037,82,338,74,0
69.0,male,3535.0,2097,72,115,151,2
70.0,male,3025.0,2386,220,348,22,2
40.0,male,6212.0,2174,70,321,68,1
30.0,female,5631.0,2322,215,244,60,3
43.0,male,8914.0,2085,162,257,47,3
40.0,male,5610.0,2771,220,428,29,1
21.0,male,5647.0,2200,143,341,20,2
34.0,female,1823.0,2102,177,266,39,3
87.0,male,5016.0,1993,218,192,20,6
87.0,male,2014.0,1810,58,300,20,1
57.0,male,5016.0,2346,183,475,20,3
65.0,female,3024.0,1908,106,303,47,3
43.0,male,6226.0,2293,70,272,87,1
43.0,female,4808.0,2664,82,572,20,4
22.0,male,9732.0,1912,131,333,20,5
29.0,female,5632.0,2779,220,227,52,2
28.0,male,5634.0,2760,139,380,20,2
33.0,female,2517.0,2142,112,434,20,1
88.0,female,5644.0,1752,47,253,77,6
40.0,female,9728.0,1709,49,367,20,2
60.0,female,1030.0,1649,145,80,45,4
56.0,female,5622.0,1853,122,200,44,3
22.0,female,3036.0,2544,220,345,21,3
25.0,female,5622.0,2310,44,514,20,5
53.0,female,3548.0,1964,30,369,39,6
66.0,male,1035.0,2515,220,317,26,6
81.0,female,3546.0,2181,143,353,20,4
87.0,male,5636.0,2268,176,341,20,5
41.0,male,3023.0,1922,120,277,49,4
82.0,male,6225.0,1553,120,292,30,3
41.0,male,4826.0,2286,115,382,36,4
30.0,female,4816.0,2369,160,269,66,5
19.0,male,1023.0,1925,117,358,20,2
69.0,female,5644.0,1797,63,319,39,1
62.0,female,2544.0,2582,120,345,72,2
45.0,male,9731.0,1852,192,172,42,7
50.0,male,6514.0,2178,60,263,101,4
62.0,female,2013.0,2200,92,285,44,7
35.0,female,1036.0,2258,122,361,23,0
44.0,female,4817.0,1991,125,195,64,2
61.0,female,5024.0,1417,43,297,20,9
