age,gender,zip_code,daily_kcal,protein_g,carbs_g,fat_g,fruit_portions
37,female,6216,1799,161,169,58,3
38,female,3534,2355,220,217,56,4
32,female,9721,2543,88,242,133,1
18,female,3026,1926,78,324,28,5
62,male,5014,2313,91,460,20,4
40,female,5012,2012,176,149,75,2
52,male,2517,2098,118,289,48,10
41,female,1823,1783,204,209,21,5
84,female,5646,1793,30,254,77,6
55,female,9711,2074,178,279,31,3
65,female,3515,2063,220,275,20,4
85,female,6211,1627,65,213,53,4
22,male,2014,2375,78,160,158,5
88,female,5022,1854,119,217,57,6
53,male,9731,2066,152,354,20,6
87,female,1036,1818,47,247,71,4
30,male,1036,2516,55,421,70,2
34,male,4816,2514,220,311,22,1
44,male,1028,2368,204,273,49,3
72,male,2014,2223,107,334,49,4
29,female,1825,2350,30,362,93,1
77,female,3531,1890,47,212,93,5
18,female,4816,2003,43,286,78,3
57,female,1033,1986,57,342,41,2
67,male,9735,2514,62,257,143,2
49,male,3024,2206,132,390,20,3
59,female,1046,2139,30,474,20,1
53,female,1046,1860,152,304,20,1
75,male,3026,1752,220,110,30,5
56,male,5022,2186,119,406,20,7
24,female,2014,2162,104,373,28,0
78,female,4825,2552,185,242,92,5
54,male,1033,2481,85,426,41,2
21,other,5622,2857,220,357,20,5
47,female,5634,1629,105,127,78,3
23,male,9712,2315,75,168,150,0
86,female,5014,1592,99,287,20,6
60,female,9731,1704,167,147,46,2
42,female,3548,2044,220,201,20,2
38,male,3531,2252,207,346,20,4
67,female,3024,1961,110,257,57,4
42,female,1028,1382,97,199,20,4
77,male,6224,1903,220,190,20,5
53,male,6514,2411,141,282,80,5
63,female,1046,1588,88,157,68,4
28,male,4817,2484,98,349,82,2
49,male,3534,2226,79,161,144,3
33,female,5012,2414,74,328,93,8
24,male,3542,1974,55,199,108,3
45,male,6535,1963,87,359,20,4
77,male,9735,1952,88,123,117,4
36,male,4816,2615,220,268,20,2
75,female,3534,2145,153,352,20,4
60,male,9731,1721,189,219,20,2
77,male,1046,1775,61,324,24,8
76,male,3035,2014,58,445,20,2
87,female,5033,1631,41,280,35,2
59,male,9721,2087,86,216,98,3
72,other,1813,1992,137,271,46,2
88,male,4811,2357,72,258,110,2
75,female,6224,1797,35,224,84,2
83,male,1813,1995,114,298,33,4
40,male,5612,2322,42,297,102,3
24,female,5634,2265,122,362,39,3
37,male,3514,2702,206,367,50,5
59,female,3511,2146,83,349,48,3
46,female,5634,1991,132,327,20,0
57,male,5612,2342,220,197,71,5
59,male,5033,2424,68,259,122,3
32,female,9712,2227,58,222,121,1
62,female,1031,1896,82,306,42,4
68,male,1023,2160,70,386,37,3
89,female,3542,2176,220,195,31,2
66,female,9728,2151,143,354,20,5
19,female,5025,1715,184,237,20,5
64,female,6211,1844,59,257,67,3
35,female,4811,2340,195,352,20,3
41,male,6211,2286,54,366,74,4
58,male,3041,2137,211,244,35,1
25,female,3035,2172,46,285,97,2
86,male,3534,2110,82,323,53,3
63,female,3514,2280,181,261,62,3
27,male,5616,1756,126,275,20,2
80,female,9735,1845,44,91,145,4
58,female,4822,1542,57,245,36,4
